subject,word,logwordfreq,wordlen,surprisal,tag,wtype
10,he,-5.13912973886908,2,4.019645822690636,PRON,FUNC
2,the,-2.785981203659842,3,2.783848403280731,DET,FUNC
5,him,-6.48398326121215,3,2.899576330054612,PRON,FUNC
5,she,-5.744994531370205,3,1.7766723551691128,PRON,FUNC
11,desk.,-10.094779229197579,5,3.8379258071515454,NOUN,CONT
4,envelope.,-11.267744497983394,9,7.779168607425734,NOUN,CONT
2,lost,-8.590171187675502,4,10.905825879351418,VERB,CONT
10,sick,-10.12249525057308,4,4.3971546486870094,ADJ,CONT
15,nodded,-9.903781688182132,6,6.904738892510315,VERB,CONT
15,began,-8.321636784637855,5,2.52151488363592,VERB,CONT
7,Alec,-11.792387267302527,4,9.715527541379076,NOUN,CONT
8,washed,-10.839107966059032,6,10.370751155441463,VERB,CONT
4,to,-3.655721426481066,2,0.8656223269347166,PRT,FUNC
1,have,-5.486617238622331,4,3.4770186196756585,VERB,CONT
10,whatever,-9.145595947087532,8,7.888265089131791,DET,FUNC
3,slap,-12.360371304908467,4,10.076112366941945,NOUN,CONT
11,he,-5.13912973886908,2,2.2994950237992478,PRON,FUNC
3,ear.,-10.49785865028954,4,6.65942147670273,NOUN,CONT
15,back,-7.02712137530768,4,3.3181402482590694,PRT,FUNC
16,young,-8.01245569794532,5,6.835062667596316,ADJ,CONT
2,up,-6.272347648863022,2,1.990748296434955,ADV,CONT
8,He,-5.13912973886908,2,3.1317690108321314,PRON,FUNC
11,at,-5.260658605349815,2,2.719836537695497,ADP,FUNC
2,more,-6.162017354479951,4,4.466992054557519,ADJ,CONT
15,not,-5.423998743924357,3,2.8532713438345016,ADV,CONT
12,had,-5.470696658446039,3,2.471894174881898,VERB,CONT
7,There,-5.983670454745862,5,4.071039521966263,DET,FUNC
15,of,-3.4606771467424715,2,1.1258604941449035,ADP,FUNC
7,a,-3.840814668221414,1,5.99404346238024,DET,FUNC
10,a,-3.840814668221414,1,3.1852580625423834,DET,FUNC
8,made,-6.970354081000903,4,6.502822664528204,VERB,CONT
5,the,-2.785981203659842,3,2.597477165853793,DET,FUNC
12,things,-8.040022835963995,6,6.524328809296769,NOUN,CONT
2,his,-5.442779651579884,3,4.838122719846299,PRON,FUNC
15,There,-5.983670454745862,5,4.071039521966263,DET,FUNC
2,his,-5.442779651579884,3,2.6329600021368313,PRON,FUNC
8,dad,-10.220154708918493,3,7.260902754694634,NOUN,CONT
4,just,-6.965837403551519,4,2.711386050404209,ADV,CONT
4,her,-5.759478310719019,3,2.086644057802878,PRON,FUNC
10,but,-5.482403115092916,3,4.805748373438803,CONJ,FUNC
10,I,-5.250051055056003,1,3.044339854851148,PRON,FUNC
5,Mick,-11.260055438315572,4,11.159432601493782,NOUN,CONT
15,a,-3.840814668221414,1,2.650782010756605,DET,FUNC
1,forgot,-11.391764783670151,6,11.979083817046872,VERB,CONT
8,fragrant,-12.730656905895458,8,15.933082938736248,ADJ,CONT
10,not,-5.423998743924357,3,0.5010563317460623,ADV,CONT
1,at,-5.260658605349815,2,4.552993607780847,ADP,FUNC
10,the,-2.785981203659842,3,2.302585092994046,DET,FUNC
4,talk,-8.854683351097025,4,9.469611453447312,NOUN,CONT
3,back,-7.02712137530768,4,6.496674762329911,NOUN,CONT
5,the,-2.785981203659842,3,3.645452719228173,DET,FUNC
8,killing.,-10.372952513680332,8,9.766760059698194,NOUN,CONT
16,out,-6.302934641988838,3,2.727066654887498,ADP,FUNC
5,slap.,-12.360371304908467,5,10.662212376512649,NOUN,CONT
4,The,-2.785981203659842,3,2.3241603153154,DET,FUNC
15,and,-3.6574238363045,3,3.8261826231772758,CONJ,FUNC
12,throw,-10.429925381550735,5,8.394971964696062,VERB,CONT
10,a,-3.840814668221414,1,2.650782010756605,DET,FUNC
4,Ian,-9.85688303940833,3,8.664927040998682,NOUN,CONT
3,He,-5.13912973886908,2,3.1317690108321314,PRON,FUNC
16,the,-2.785981203659842,3,2.113704037815744,DET,FUNC
10,on,-4.9475980266505895,2,4.600150550485364,ADP,FUNC
2,his,-5.442779651579884,3,4.248545806785174,PRON,FUNC
10,sat,-9.09375324022374,3,9.568300250533037,VERB,CONT
8,the,-2.785981203659842,3,0.2713251144329534,DET,FUNC
11,came,-7.737934174541397,4,5.322126106393648,VERB,CONT
10,breakfast.,-10.08002659072254,10,8.078780979726119,NOUN,CONT
11,mind,-8.305366815051336,4,2.507837528183535,VERB,CONT
3,but,-5.482403115092916,3,7.558627007218764,CONJ,FUNC
15,to,-3.655721426481066,2,2.7888219870815987,PRT,FUNC
3,his,-5.442779651579884,3,4.831859688393355,PRON,FUNC
11,and,-3.6574238363045,3,1.9308235193897851,CONJ,FUNC
7,and,-3.6574238363045,3,4.575789200201487,CONJ,FUNC
12,He,-5.13912973886908,2,3.1317690108321314,PRON,FUNC
5,Have,-5.486617238622331,4,7.136263823610866,VERB,CONT
8,his,-5.442779651579884,3,2.6329600021368313,PRON,FUNC
11,Let,-8.369778247538491,3,6.812221023473814,VERB,CONT
3,folded,-11.295572380606135,6,8.103602847028595,VERB,CONT
11,removed,-9.702672588504278,7,9.751470894680713,VERB,CONT
11,no,-6.284549154710477,2,3.8699317399441626,DET,FUNC
8,is,-4.646881437660655,2,5.906084711827867,VERB,CONT
15,our,-7.034632845110936,3,5.87421693414083,PRON,FUNC
1,she,-5.744994531370205,3,3.0359584451126493,PRON,FUNC
15,is,-4.646881437660655,2,5.906084711827867,VERB,CONT
11,up,-6.272347648863022,2,1.990748296434955,ADV,CONT
12,his,-5.442779651579884,3,3.24075036328354,PRON,FUNC
10,huge,-9.452673949886892,4,8.872274828622798,ADJ,CONT
5,and,-3.6574238363045,3,2.278000391956148,CONJ,FUNC
5,hands,-8.600361452998824,5,3.4879098471655205,NOUN,CONT
4,walked,-9.334782307116637,6,3.980110436643928,VERB,CONT
11,hard,-8.415541976504702,4,6.921847099751261,ADJ,CONT
15,hour,-9.271656599342363,4,2.540119771187311,NOUN,CONT
8,you,-5.541296313955169,3,1.0835251646251152,PRON,FUNC
3,and,-3.6574238363045,3,3.448328409416953,CONJ,FUNC
15,hand,-7.989015209224487,4,4.440972843006686,NOUN,CONT
5,He,-5.13912973886908,2,3.1317690108321314,PRON,FUNC
3,"tea,",-9.599358274626574,4,9.087723110604063,NOUN,CONT
3,James,-9.262724343446031,5,8.681459601966381,NOUN,CONT
8,a,-3.840814668221414,1,1.340302546440532,DET,FUNC
1,knife,-10.55170526223597,5,6.190062531346823,NOUN,CONT
1,not,-5.423998743924357,3,4.829303818940132,ADV,CONT
16,were,-5.781635286684798,4,2.17171076147845,VERB,CONT
12,morning,-8.715275387480158,7,4.425038954163167,NOUN,CONT
7,idea.,-8.509190336234017,5,5.388624763879316,NOUN,CONT
12,of,-3.4606771467424715,2,1.0204343330770782,ADP,FUNC
10,do,-6.638710390580757,2,4.409404401381737,VERB,CONT
10,will,-5.9793388695512455,4,3.9145097873445276,VERB,CONT
1,Five,-8.146861693803949,4,8.16731537655174,NUM,FUNC
4,I,-5.250051055056003,1,3.291913804049867,PRON,FUNC
16,very,-6.8746833421140074,4,4.883069180861543,ADV,CONT
12,of,-3.4606771467424715,2,3.6976292974354186,ADP,FUNC
5,across,-8.334699972169636,6,5.633090223202493,ADP,FUNC
10,leave,-8.608853311228716,5,4.810146310966422,VERB,CONT
15,will,-5.9793388695512455,4,3.9145097873445276,VERB,CONT
11,listening,-10.159176217534688,9,8.753185127613145,VERB,CONT
8,truck.,-11.391764783670151,6,9.480802016999265,NOUN,CONT
16,Alex.,-10.99932917585232,5,11.482853703655726,NOUN,CONT
12,smiled,-9.499267115735782,6,4.022547079907808,VERB,CONT
16,You,-5.541296313955169,3,4.544427991234908,PRON,FUNC
8,from,-5.428437549598382,4,1.959495308967747,ADP,FUNC
4,already,-8.004745102211237,7,7.985134843994052,ADV,CONT
7,cried,-10.467351787069852,5,6.835822520677003,VERB,CONT
7,let,-8.369778247538491,3,8.984963343073925,VERB,CONT
7,it,-4.814770701744465,2,3.0165706786296393,PRON,FUNC
2,to,-3.655721426481066,2,1.64161652912464,PRT,FUNC
15,down.,-7.108941820943702,5,0.874365242532815,PRT,FUNC
5,at,-5.260658605349815,2,5.969705137947293,ADP,FUNC
8,opened,-9.080768561666021,6,2.3003515854538414,VERB,CONT
7,shop.,-9.303984321228851,5,10.523412547106968,NOUN,CONT
5,people,-6.865837463502093,6,3.9550813366830826,NOUN,CONT
12,knife,-10.55170526223597,5,6.190062531346823,NOUN,CONT
16,a,-3.840814668221414,1,0.7783681674208002,DET,FUNC
1,like,-6.726824709978813,4,4.533513737894117,ADP,FUNC
15,back,-7.02712137530768,4,3.5004128842204785,ADV,CONT
11,now,-6.731839825399422,3,6.0184508643659775,ADV,CONT
16,knife,-10.55170526223597,5,6.190062531346823,NOUN,CONT
16,is,-4.646881437660655,2,3.784736091503383,VERB,CONT
5,she,-5.744994531370205,3,4.623084298011585,PRON,FUNC
1,lips,-9.904439655088202,4,4.029915352205389,NOUN,CONT
11,nose.,-10.130714474926211,5,7.438869556532143,NOUN,CONT
12,called,-8.049864022513496,6,6.276754860098049,VERB,CONT
1,had,-5.470696658446039,3,3.821232065227339,VERB,CONT
1,Burn,-11.009213935084862,4,11.166363382623695,NOUN,CONT
10,my,-6.608684049596997,2,6.298606392630563,PRON,FUNC
12,It,-4.814770701744465,2,3.1893796898588427,PRON,FUNC
3,light.,-8.378421507881313,6,7.618655400593118,NOUN,CONT
4,closed,-9.24736763551483,6,4.617742300595839,VERB,CONT
8,very,-6.8746833421140074,4,7.847371177880217,ADV,CONT
15,I,-5.250051055056003,1,3.044339854851148,PRON,FUNC
3,looking,-8.381813690011816,7,9.840120420760984,VERB,CONT
12,end,-7.662311909617381,3,2.639844731564884,NOUN,CONT
15,nodded,-9.903781688182132,6,10.244155027028649,VERB,CONT
1,want,-7.818165432203236,4,2.1893784968969934,VERB,CONT
12,in,-3.9285727557862526,2,1.7766723551691128,ADP,FUNC
12,his,-5.442779651579884,3,3.9610450320739368,PRON,FUNC
8,Five,-8.146861693803949,4,8.16731537655174,NUM,FUNC
15,build,-9.556778446957992,5,7.665420903831828,VERB,CONT
1,it.,-4.814770701744465,3,2.2265974823401495,PRON,FUNC
15,received.,-8.890090120968994,9,8.177216492451615,VERB,CONT
5,her,-5.759478310719019,3,3.1321604502979405,PRON,FUNC
12,walked,-9.334782307116637,6,5.647320199077196,VERB,CONT
10,table.,-8.547702450752675,6,4.473278111861393,NOUN,CONT
2,her,-5.759478310719019,3,7.971019997373998,PRON,FUNC
3,wood,-9.548137751321445,4,8.1675916867629,NOUN,CONT
16,and,-3.6574238363045,3,3.8274490449784224,CONJ,FUNC
12,give,-7.862980015442483,4,8.266487716506994,VERB,CONT
5,knocked,-10.793782162449743,7,7.798210986144794,VERB,CONT
2,on,-4.9475980266505895,2,4.6409523583332195,ADP,FUNC
11,has,-5.950836013626079,3,6.264228797192161,VERB,CONT
7,"trying,",-8.74483285371725,7,9.962502818453618,ADJ,CONT
10,I,-5.250051055056003,1,3.044339854851148,PRON,FUNC
11,white,-8.34396524347776,5,2.8494720784310617,ADJ,CONT
7,he,-5.13912973886908,2,5.165918733684931,PRON,FUNC
8,No-one,-10.8374333912887,6,8.738632789825422,NOUN,CONT
7,three,-7.318994319785575,5,5.232808830636409,NUM,FUNC
7,Michael,-9.312323241990315,7,8.264944984494688,NOUN,CONT
10,stepped,-10.435133726657872,7,11.302768523532663,VERB,CONT
3,campaign,-9.227549398775828,8,7.4727175573991556,NOUN,CONT
12,hour,-9.271656599342363,4,2.540119771187311,NOUN,CONT
15,back,-7.02712137530768,4,1.999675418840493,ADV,CONT
10,times.,-8.167891756901886,6,5.610962380458821,NOUN,CONT
5,in,-3.9285727557862526,2,3.538889081124409,ADP,FUNC
1,when,-6.226180238259782,4,3.780384205677624,ADV,CONT
10,three,-7.318994319785575,5,5.232808830636409,NUM,FUNC
8,truck.,-11.391764783670151,6,10.259766553959148,NOUN,CONT
4,and,-3.6574238363045,3,2.5670830426262716,CONJ,FUNC
11,at,-5.260658605349815,2,5.7781761099120486,ADP,FUNC
3,his,-5.442779651579884,3,4.3101860097246245,PRON,FUNC
2,just,-6.965837403551519,4,7.033614580165192,ADV,CONT
8,you,-5.541296313955169,3,0.3165640037550074,PRON,FUNC
4,one,-5.972566703107296,3,5.674651884131036,NUM,FUNC
8,He,-5.13912973886908,2,3.1317690108321314,PRON,FUNC
12,baby,-9.462215203691745,4,8.846324694624753,NOUN,CONT
2,leaned,-10.72518089637195,6,8.423616123252907,VERB,CONT
3,told,-7.9674072599173105,4,5.337161987050898,VERB,CONT
16,dead,-9.022883007274128,4,7.9393364264944,ADJ,CONT
10,bowls,-11.899359386854695,5,13.142441909431186,NOUN,CONT
7,it,-4.814770701744465,2,3.526063682156432,PRON,FUNC
12,trench.,-12.073328823140464,7,10.67379437953041,NOUN,CONT
10,and,-3.6574238363045,3,3.24075036328354,CONJ,FUNC
10,hands,-8.600361452998824,5,4.248983297952843,NOUN,CONT
12,Alex.,-10.99932917585232,5,11.482853703655726,NOUN,CONT
5,turned,-8.335476422915443,6,6.190638177620071,VERB,CONT
10,against,-7.4616920665688236,7,5.496339694529578,ADP,FUNC
11,make,-7.217048964317398,4,6.686960394414939,VERB,CONT
15,foul,-11.485328915887607,4,12.470869941208543,NOUN,CONT
16,head.,-7.903113835851266,5,0.06361950508538829,NOUN,CONT
11,cried,-10.467351787069852,5,6.835822520677003,VERB,CONT
3,felt,-8.206014112923103,4,7.122310157947322,VERB,CONT
12,had,-5.470696658446039,3,3.821232065227339,VERB,CONT
10,herself,-8.686242045758455,7,2.429825945232897,PRON,FUNC
16,you,-5.541296313955169,3,3.3631327609761734,PRON,FUNC
5,hard,-8.415541976504702,4,6.145323302989949,ADV,CONT
2,getting,-8.781409480576455,7,11.425657489945756,VERB,CONT
5,up.,-6.272347648863022,3,2.712744575609075,PRT,FUNC
2,but,-5.482403115092916,3,3.430368245691599,CONJ,FUNC
12,sit,-9.604383818153341,3,4.41628913080979,VERB,CONT
16,Burn,-11.009213935084862,4,11.166363382623695,NOUN,CONT
16,the,-2.785981203659842,3,1.1334198810052032,DET,FUNC
7,men,-7.922515642051775,3,7.55632442212577,NOUN,CONT
1,and,-3.6574238363045,3,2.6065493511201896,CONJ,FUNC
3,sat,-9.09375324022374,3,5.225210299829529,VERB,CONT
2,him,-6.48398326121215,3,1.3989424810038116,PRON,FUNC
3,her,-5.759478310719019,3,3.770713348287049,PRON,FUNC
5,didn't,-8.028931524211277,6,8.399600160732978,VERB,CONT
8,walked,-9.334782307116637,6,3.9643377287569184,VERB,CONT
15,fire,-8.941932116811804,4,6.416936240559527,NOUN,CONT
8,most,-6.887080283263541,4,3.9321015374550017,ADV,CONT
11,you,-5.541296313955169,3,1.9098354562671445,PRON,FUNC
5,outside,-8.46651747897035,7,6.681664448701051,ADJ,CONT
5,smiling,-10.452060969271434,7,5.176050108094106,VERB,CONT
10,and,-3.6574238363045,3,2.4014350710362797,CONJ,FUNC
15,his,-5.442779651579884,3,1.2286663133769018,PRON,FUNC
7,to.,-3.655721426481066,3,0.3560924820464362,PRT,FUNC
8,his,-5.442779651579884,3,3.8952371501161673,PRON,FUNC
8,and,-3.6574238363045,3,3.59258536549303,CONJ,FUNC
11,a,-3.840814668221414,1,1.8283607853366428,DET,FUNC
10,drank,-11.183094397179444,5,7.159128493584298,VERB,CONT
10,a,-3.840814668221414,1,3.6616859441337812,DET,FUNC
3,at,-5.260658605349815,2,0.45985157150693384,ADP,FUNC
5,the,-2.785981203659842,3,0.988030053063373,DET,FUNC
5,delivery.,-10.20137901207606,9,9.637907397894248,NOUN,CONT
12,I,-5.250051055056003,1,3.044339854851148,PRON,FUNC
15,his,-5.442779651579884,3,3.456479560646152,PRON,FUNC
1,wiped,-11.397607059294378,5,7.286162113164779,VERB,CONT
1,old,-7.5705166271571915,3,8.485003041832128,ADJ,CONT
12,Jack,-9.84709842923334,4,8.317582079720532,NOUN,CONT
16,sat,-9.09375324022374,3,9.505992297916618,VERB,CONT
5,think,-7.562532595080485,5,3.3564552642064904,VERB,CONT
3,the,-2.785981203659842,3,0.23180124131171057,DET,FUNC
11,She,-5.744994531370205,3,3.5342378592365606,PRON,FUNC
7,don't,-7.4845299221583375,5,3.2763713546721576,NOUN,CONT
16,in,-3.9285727557862526,2,1.7766723551691128,ADP,FUNC
4,door,-8.402656341075208,4,4.325774510804194,NOUN,CONT
1,breath,-9.893095728903138,6,3.9403678179388506,NOUN,CONT
15,smiled,-9.499267115735782,6,5.57630847480926,VERB,CONT
8,holding,-9.393833449863958,7,6.9515734733018135,VERB,CONT
10,dress,-9.93360143216169,5,10.877435005154801,VERB,CONT
4,After,-6.751133744549675,5,5.891670529145725,ADP,FUNC
4,ear.,-10.49785865028954,4,7.737215507031382,NOUN,CONT
8,kept,-8.902820986695179,4,7.093504818433967,VERB,CONT
2,flat,-9.433860281128212,4,7.715663310560958,ADJ,CONT
3,I,-5.250051055056003,1,3.044339854851148,PRON,FUNC
8,room.,-8.151982809637282,5,3.1989814696966277,NOUN,CONT
5,and,-3.6574238363045,3,2.6065493511201896,CONJ,FUNC
1,immediately.,-9.152502123070459,12,9.61412169388362,ADV,CONT
10,parked,-11.238169042813848,6,5.500622502802546,VERB,CONT
1,head.,-7.903113835851266,5,6.2650347019747095,NOUN,CONT
4,the,-2.785981203659842,3,2.5614417091484363,DET,FUNC
16,up.,-6.272347648863022,3,1.4341513096607834,PRT,FUNC
7,mostly,-10.15606755316886,6,11.823751426673496,ADV,CONT
4,ones,-9.319875963969244,4,9.548613147987938,NOUN,CONT
11,was,-4.7581921670609155,3,4.104311876560026,VERB,CONT
10,saw,-8.289488229365364,3,2.44007244889672,VERB,CONT
8,Let's,-10.06291442828134,5,7.756326963303232,DET,FUNC
3,killed,-9.340258363115762,6,8.914987782097837,VERB,CONT
5,fill,-10.231652566296619,4,7.005822378092754,NOUN,CONT
15,a,-3.840814668221414,1,5.99404346238024,DET,FUNC
15,hand,-7.989015209224487,4,4.3208930304070465,NOUN,CONT
1,his,-5.442779651579884,3,4.6841949063796475,PRON,FUNC
2,do,-6.638710390580757,2,4.1644093474871715,VERB,CONT
3,step,-9.332922302860387,4,2.408895446737581,NOUN,CONT
7,horse,-9.565181857754371,5,6.964352820567931,NOUN,CONT
8,foul,-11.485328915887607,4,12.470869941208543,NOUN,CONT
10,live,-8.71888912359512,4,8.177239518302544,VERB,CONT
5,huge,-9.452673949886892,4,8.872274828622798,ADJ,CONT
7,dismay.,-12.048683025933638,7,11.440578241348357,NOUN,CONT
3,is,-4.646881437660655,2,3.4510454598266858,VERB,CONT
4,the,-2.785981203659842,3,1.0017949067492915,DET,FUNC
5,it.,-4.814770701744465,3,4.1038053078395675,PRON,FUNC
10,at,-5.260658605349815,2,5.7781761099120486,ADP,FUNC
3,wished,-10.209085037168727,6,9.060902599440869,VERB,CONT
8,up,-6.272347648863022,2,7.836802312303375,ADV,CONT
10,his,-5.442779651579884,3,4.584262713343706,PRON,FUNC
2,in,-3.9285727557862526,2,3.9900115525438022,ADP,FUNC
5,wiped,-11.397607059294378,5,7.286162113164779,VERB,CONT
11,and,-3.6574238363045,3,2.6083914191945854,CONJ,FUNC
4,this,-5.442815107363993,4,3.725053085892977,DET,FUNC
1,teeth,-9.997974316840793,5,11.592802141846192,VERB,CONT
3,she,-5.744994531370205,3,8.504690144377228,PRON,FUNC
10,he,-5.13912973886908,2,2.299002270589347,PRON,FUNC
10,It,-4.814770701744465,2,3.1893796898588427,PRON,FUNC
5,times,-8.167891756901886,5,5.588581253354919,NOUN,CONT
1,She,-5.744994531370205,3,3.5342378592365606,PRON,FUNC
10,"daughter,",-9.330571253085992,9,5.060322181320225,NOUN,CONT
16,to,-3.655721426481066,2,4.893799227394895,PRT,FUNC
8,He,-5.13912973886908,2,3.1317690108321314,PRON,FUNC
2,teaches,-12.303212891068517,7,13.43445575092469,VERB,CONT
5,people,-6.865837463502093,6,9.389803854124139,NOUN,CONT
2,a,-3.840814668221414,1,3.937006043703079,DET,FUNC
11,tables,-10.488372413144432,6,7.7749548767055545,NOUN,CONT
1,washed,-10.839107966059032,6,11.957324387918078,VERB,CONT
5,that.,-4.653017748138293,5,2.4448157741882883,DET,FUNC
15,out,-6.302934641988838,3,4.269706563789788,PRT,FUNC
16,man,-7.494806134333096,3,3.8258142095623966,NOUN,CONT
12,be,-5.041986102848782,2,0.4224069327246647,VERB,CONT
4,was,-4.7581921670609155,3,1.7435105246598124,VERB,CONT
2,that,-4.653017748138293,4,2.0512717456043035,ADP,FUNC
7,village.,-9.087724439388479,8,4.477606971836222,NOUN,CONT
8,mess.,-10.896595056976713,5,5.146922406667731,NOUN,CONT
7,like,-6.726824709978813,4,8.19892986987855,ADP,FUNC
12,a,-3.840814668221414,1,1.7101921183641886,DET,FUNC
5,back,-7.02712137530768,4,1.999675418840493,ADV,CONT
1,all,-5.970976358312091,3,5.035776624228908,DET,FUNC
7,picked,-9.774204606509906,6,8.0825341934277,VERB,CONT
1,things.,-8.040022835963995,7,1.788180675463897,NOUN,CONT
7,sat,-9.09375324022374,3,7.4575435216363255,VERB,CONT
2,and,-3.6574238363045,3,1.9131926253327296,CONJ,FUNC
7,arranged,-10.087902714398872,8,9.378360006211958,VERB,CONT
5,from,-5.428437549598382,4,2.6274568237645757,ADP,FUNC
10,almost,-8.050929113404585,6,9.521695928250839,ADV,CONT
7,Tell,-8.332966553251882,4,8.154121563968884,VERB,CONT
15,down,-7.108941820943702,4,3.444460066460723,ADV,CONT
2,After,-6.751133744549675,5,5.891670529145725,ADP,FUNC
10,in,-3.9285727557862526,2,3.576559373245791,ADP,FUNC
11,One,-5.972566703107296,3,5.347477568267512,NUM,FUNC
15,me.,-6.780467773988587,3,3.32196253951344,PRON,FUNC
1,down,-7.108941820943702,4,3.444460066460723,ADV,CONT
2,about,-6.373983561607304,5,0.6931471905439976,ADP,FUNC
8,tea.,-9.599358274626574,4,0.4841852907696949,NOUN,CONT
8,whatever,-9.145595947087532,8,7.888265089131791,DET,FUNC
1,getting,-8.781409480576455,7,5.758650188323458,VERB,CONT
12,out,-6.302934641988838,3,2.727066654887498,ADP,FUNC
10,and,-3.6574238363045,3,1.9315212026729622,CONJ,FUNC
11,kill,-10.012778615856984,4,9.710116466410541,VERB,CONT
11,book,-8.343780937160139,4,5.5611114131955,NOUN,CONT
4,Things,-8.040022835963995,6,7.860703145568653,NOUN,CONT
10,in,-3.9285727557862526,2,2.1916925949154527,ADP,FUNC
10,fire,-8.941932116811804,4,6.416936240559527,NOUN,CONT
4,laid,-9.721496673749915,4,10.821804549308066,VERB,CONT
12,soldier,-10.99344488296663,7,13.632109655307298,ADJ,CONT
4,room,-8.151982809637282,4,1.011601616660353,NOUN,CONT
8,shoulders,-10.088430001518919,9,5.940853746732078,NOUN,CONT
2,sat,-9.09375324022374,3,4.966929329948385,VERB,CONT
16,and,-3.6574238363045,3,2.0002050134118816,CONJ,FUNC
16,soldier.,-10.99344488296663,8,5.962521072457152,NOUN,CONT
3,still,-7.26470869796347,5,8.00859818609166,ADV,CONT
8,down.,-7.108941820943702,5,8.790947523138248,PRT,FUNC
1,their,-5.9376725369117445,5,4.163188977387884,PRON,FUNC
5,and,-3.6574238363045,3,1.9315212026729622,CONJ,FUNC
7,the,-2.785981203659842,3,0.3748286169481287,DET,FUNC
1,week.,-8.260246379770866,5,6.967737620654632,NOUN,CONT
2,touched,-10.44789666266673,7,11.451239210328918,ADJ,CONT
16,an,-5.663232866402157,2,6.87964071499668,DET,FUNC
7,It,-4.814770701744465,2,3.1893796898588427,PRON,FUNC
11,just,-6.965837403551519,4,7.712577846536346,ADV,CONT
15,rather,-7.7759781338214875,6,4.463929616383837,ADV,CONT
12,his,-5.442779651579884,3,8.559031152571887,PRON,FUNC
15,I'll,-8.764286016832015,4,7.99717736403041,NOUN,CONT
4,Burn,-11.009213935084862,4,11.166363382623695,NOUN,CONT
3,dressed,-10.241438577114849,7,6.452373025140705,VERB,CONT
